"","category","data_description","not_interested_at_all","slightly_interested","moderately_interested","very_interested","extremely_interested","total_remove_dontKnow"
"1","swimmer_metadata","nationality_interest","2","5","18","27","28","80"
"2","swimmer_metadata","name_interest","3","5","16","26","30","80"
"3","swimmer_metadata","age_interest","13","15","20","20","12","80"
"4","swimmer_metadata","gender_interest","40","15","9","9","4","77"
"5","swimmer_metadata","height_interest","20","11","26","14","9","80"
"6","swimmer_metadata","weight_interest","25","14","19","14","7","79"
"7","time","elapsed_time_interest","3","8","13","22","30","76"
"8","time","lap_time_difference_to_other_swimmers_interest","4","10","17","23","23","77"
"9","time","average_lap_time_interest","8","21","17","19","11","76"
"10","time","current_lap_time_interest","6","8","16","29","18","77"
"11","time","lap_time_difference_to_a_record_interest","3","9","14","35","17","78"
"12","speed","speed_difference_to_other_swimmers_interest","9","6","16","27","21","79"
"13","speed","speed_differences_to_a_record_interest","10","14","14","24","17","79"
"14","speed","current_speed","8","10","11","33","17","79"
"15","speed","average_speed","16","17","22","14","11","80"
"16","speed","history_of_speed","10","17","16","18","17","78"
"17","speed","speed_related_events","12","11","14","26","17","80"
"18","distance","distance_swam","13","19","24","15","8","79"
"19","distance","remaining_distance","13","15","22","16","14","80"
"20","distance","distance_difference_to_leader","2","12","11","34","21","80"
"21","distance","trace_of_movement","25","13","18","15","6","77"
"22","distance","side_by_side_distance","39","20","11","5","3","78"
"23","record","world_record","1","4","5","25","45","80"
"24","record","competition_record","5","6","15","30","24","80"
"25","record","national_record","14","15","13","20","17","79"
"26","record","personal_record","7","11","10","29","23","80"
"27","technique","distance_per_stroke","10","10","17","18","25","80"
"28","technique","reaction_time","3","7","18","27","25","80"
"29","technique","diving_distance","5","11","14","28","22","80"
"30","technique","stroke_count","10","13","20","16","20","79"
"31","predictions","next_passing","19","19","18","16","5","77"
"32","predictions","record_break","9","7","14","28","22","80"
"33","predictions","winner","17","11","11","22","19","80"
"34","predictions","estimation_completion_time","22","14","10","25","8","79"
"35","external_data","social_media_followers","55","15","8","0","0","78"
"36","external_data","social_media_by_swimmer","43","22","14","0","1","80"
"37","external_data","sponsor","54","18","4","1","0","77"
