"","participant_id","speed_difference_to_other_swimmers_interest","speed_differences_to_a_record_interest","current_speed","average_speed","history_of_speed","speed_related_events"
"69",166,"Very interested","Moderately interested","Moderately interested","Slightly interested","Not interested at all","Very interested"
"70",169,"Very interested","Slightly interested","Slightly interested","Slightly interested","Very interested","Slightly interested"
"71",171,"Extremely interested","Very interested","Extremely interested","Moderately interested","Moderately interested","Very interested"
"72",174,"Moderately interested","Very interested","Slightly interested","Slightly interested","Very interested","Slightly interested"
"73",177,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"74",178,"Very interested","Slightly interested","Slightly interested","Slightly interested","Slightly interested","Very interested"
"75",179,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"76",181,"Extremely interested","Extremely interested","Extremely interested","Very interested","Extremely interested","Extremely interested"
"77",185,"Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"78",186,"Moderately interested","Slightly interested","Slightly interested","Slightly interested","Slightly interested","Slightly interested"
"79",187,"Moderately interested","Moderately interested","Not interested at all","Not interested at all","Moderately interested","Very interested"
"80",190,"Moderately interested","Not interested at all","Very interested","Moderately interested","Slightly interested","Slightly interested"
