"","nationality_interest","name_interest","age_interest","gender_interest","height_interest","weight_interest","elapsed_time_interest","lap_time_difference_to_other_swimmers_interest","average_lap_time_interest","current_lap_time_interest","lap_time_difference_to_a_record_interest","speed_difference_to_other_swimmers_interest","speed_differences_to_a_record_interest","current_speed","average_speed","history_of_speed","speed_related_events","distance_swam","remaining_distance","distance_difference_to_leader","trace_of_movement","side_by_side_distance","world_record","competition_record","national_record","personal_record","distance_per_stroke","reaction_time","diving_distance","stroke_count","next_passing","record_break","winner","estimation_completion_time","social_media_followers","social_media_by_swimmer","sponsor","watching_frequency_grade"
"70",4,5,2,4,3,3,5,5,3,4,5,4,2,2,2,4,2,4,3,3,2,2,4,1,1,2,3,4,4,2,1,1,2,2,1,1,1,10
"71",5,4,4,5,4,2,3,4,4,5,4,5,4,5,3,3,4,4,1,3,1,1,5,5,3,4,3,4,2,2,1,1,1,1,1,2,1,10
"72",5,5,5,1,5,5,3,5,5,3,5,3,4,2,2,4,2,3,3,4,4,1,5,1,5,5,2,2,5,3,3,5,5,5,1,1,1,8
"73",4,4,3,1,1,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,1,5,4,4,5,5,5,5,5,4,5,5,4,1,1,3,8
"74",5,5,4,4,5,4,5,5,4,5,4,4,2,2,2,2,4,2,2,4,2,2,5,5,5,5,4,5,4,4,1,2,1,2,3,3,2,7
"75",5,5,5,2,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,15
"76",5,5,4,2,3,1,5,5,3,5,5,5,5,5,4,5,5,3,2,4,4,3,5,5,5,4,5,5,5,5,2,3,5,1,1,1,2,6
"77",3,5,3,1,3,3,3,3,4,4,4,3,3,3,3,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,1,2,1,4
"78",3,3,2,2,3,2,4,3,3,2,3,3,2,2,2,2,2,2,2,2,3,3,4,3,3,2,3,3,3,3,2,3,3,2,3,2,1,6
"79",4,4,4,0,3,3,4,3,1,4,3,3,3,1,1,3,4,2,2,2,1,3,4,4,1,4,2,1,3,2,4,4,4,4,2,3,2,12
"80",4,4,3,1,1,3,4,3,2,4,3,3,1,4,3,2,2,2,3,4,3,1,3,3,2,2,1,3,3,1,3,4,4,2,1,1,1,0
